Movie Name,Storyline,Processed_Storyline
87. Old Guy,"Follows a contract killer facing the end of his career who is thrilled when The Company pulls him back into the field training Gen Z newcomer Wihlborg, a prodigy assassin with an attitude.",follow contract killer face end career thrill compani pull back field train gen z newcom wihlborg prodigi assassin attitud
88. Argylle,A reclusive author who writes espionage novels about a secret agent and a global spy syndicate realizes that the plot of the new book she's writing starts to mirror real-world events in real time.,reclus author write espionag novel secret agent global spi syndic realiz plot new book she write start mirror realworld event real time
89. Shell,"Desperate to reclaim her career, once-beloved actress Samantha Lake is drawn into the glamorous world of wellness mogul Zoe Shannon -only to uncover a monstrous truth beneath its flawless surface.",desper reclaim career oncebelov actress samantha lake drawn glamor world well mogul zoe shannon uncov monstrou truth beneath flawless surfac
90. Transformers One,"The untold origin story of Optimus Prime and Megatron, better known as sworn enemies, but who once were friends bonded like brothers who changed the fate of Cybertron forever.",untold origin stori optimu prime megatron better known sworn enemi friend bond like brother chang fate cybertron forev
91. Monster Summer,"When a mysterious force begins to disrupt their big summer fun, a group of friends team up with a retired police detective to embark on an adventure to save their island.",mysteri forc begin disrupt big summer fun group friend team retir polic detect embark adventur save island
92. Shelby Oaks,A woman's obsessive search for her missing sister leads her into a terrifying mystery at the hands of an unknown evil.,woman obsess search miss sister lead terrifi mysteri hand unknown evil
93. Your Monster,"After her life falls apart, soft-spoken actress Laura Franco finds her voice again when she meets a terrifying, yet weirdly charming Monster living in her closet. A romantic-comedy-horror film about falling in love with your inner rage.",life fall apart softspoken actress laura franco find voic meet terrifi yet weirdli charm monster live closet romanticcomedyhorror film fall love inner rage
94. The Garfield Movie,"After Garfield's unexpected reunion with his long-lost father, ragged alley cat Vic, he and his canine friend Odie are forced from their perfectly pampered lives to join Vic on a risky heist.",garfield unexpect reunion longlost father rag alley cat vic canin friend odi forc perfectli pamper live join vic riski heist
95. Spaceman,"Half a year into his solo mission on the edge of the solar system, an astronaut concerned with the state of his life back on Earth is helped by an ancient creature he discovers in the bowels of his ship.",half year solo mission edg solar system astronaut concern state life back earth help ancient creatur discov bowel ship
96. Kingdom of the Planet of the Apes,"Many years after the reign of Caesar, a young ape goes on a journey that will lead him to question everything he's been taught about the past and make choices that will define a future for apes and humans alike.",mani year reign caesar young ape goe journey lead question everyth he taught past make choic defin futur ape human alik
97. I Saw the TV Glow,A teenager just trying to make it through life in the suburbs is introduced by a classmate to a mysterious late-night TV show.,teenag tri make life suburb introduc classmat mysteri latenight tv show
98. Scoop,"An insider account of how BBC Newsnight obtained the bombshell interview with Prince Andrew about his friendship with convicted sex offender, Jeffrey Epstein.",insid account bbc newsnight obtain bombshel interview princ andrew friendship convict sex offend jeffrey epstein
99. It's What's Inside,"A group of friends gather for a pre-wedding party that descends into an existential nightmare when an estranged friend arrives with a mysterious game that awakens long-hidden secrets, desires and grudges.",group friend gather prewed parti descend existenti nightmar estrang friend arriv mysteri game awaken longhidden secret desir grudg
100. Sheepdog,"A decorated combat veteran is court-ordered into treatment when an ex-convict shows up on his doorstep, forcing him to confront his past and begin an unexpected journey toward post-traumatic growth.",decor combat veteran courtord treatment exconvict show doorstep forc confront past begin unexpect journey toward posttraumat growth
101. Red One,"After Santa Claus is kidnapped, the North Pole's Head of Security must team up with a notorious hacker in a globe-trotting, action-packed mission to save Christmas.",santa clau kidnap north pole head secur must team notori hacker globetrot actionpack mission save christma
102. The Killer's Game,"When a hitman is diagnosed with a terminal illness, he decides to take a hit out on himself. But when the very hitmen he hired also target his ex-girlfriend, he must fend off an army of assassin colleagues.",hitman diagnos termin ill decid take hit hitmen hire also target exgirlfriend must fend armi assassin colleagu
103. The Friend,"When a solitary writer adopts and bonds with a Great Dane that belonged to a late friend, she begins to come to terms with her past and her own creative inner life.",solitari writer adopt bond great dane belong late friend begin come term past creativ inner life
104. Freaky Tales,"Four interconnected stories set in 1987 Oakland, CA. will tell about the love of music, movies, people, places and memories beyond our knowable universe.",four interconnect stori set oakland ca tell love music movi peopl place memori beyond knowabl univers
105. Land of Bad,A Delta Force team fights for survival as an Air Force drone pilot becomes its eyes in the sky.,delta forc team fight surviv air forc drone pilot becom eye sky
106. Horizon: An American Saga - Chapter 1,"Chronicles a multi-faceted, 15-year span of pre-and post-Civil War expansion and settlement of the American west.",chronicl multifacet year span preand postcivil war expans settlement american west
107. Mufasa: The Lion King,"Mufasa, a cub lost and alone, meets a sympathetic lion named Taka, the heir to a royal bloodline. The chance meeting sets in motion an expansive journey of a group of misfits searching for their destiny.",mufasa cub lost alon meet sympathet lion name taka heir royal bloodlin chanc meet set motion expans journey group misfit search destini
